Concurrent Users,Message Size (Bytes),Total requests,Average Response Time (ms),Throughput (Requests/sec),Error %,Error Count,90th Percentile of Response Time (ms),95th Percentile of Response Time (ms),99th Percentile of Response Time (ms),Adapter CPU,Adapter Memory,Enforcer Memory,Enforcer Memory,Router Memory,Router Memory,Nginx Memory,Nginx Memory
10,50B,3057387,2.86,3393.33,0,0.0,3.0,4.0,18.0,3m,22Mi,997m,750Mi,1344m,65Mi,605m,116Mi
50,50B,4683200,9.53,5193.08,0,0.0,22.0,32.0,38.0,5m,22Mi,991m,783Mi,1610m,68Mi,943m,132Mi
100,50B,5083655,17.62,5641.29,0,0.0,38.0,43.0,54.0,4m,22Mi,996m,825Mi,1653m,67Mi,1037m,137Mi
200,50B,5402601,33.24,5995.48,0,0.0,57.0,64.0,80.0,5m,22Mi,996m,884Mi,1757m,73Mi,1129m,144Mi
500,50B,5289304,85.03,5865.37,0,0.0,115.0,129.0,164.0,4m,22Mi,932m,931Mi,1999m,95Mi,1107m,164Mi
1000,50B,4967924,181.26,5482.02,0,0.0,228.0,251.0,277.0,5m,22Mi,863m,971Mi,1997m,133Mi,1139m,196Mi
10,1KiB,3052933,2.87,3385.21,0,0.0,3.0,4.0,17.0,4m,21Mi,996m,749Mi,1300m,67Mi,620m,117Mi
50,1KiB,4479198,9.96,4971.6,0,0.0,26.0,34.0,40.0,4m,22Mi,990m,779Mi,1603m,68Mi,979m,129Mi
100,1KiB,5049299,17.75,5597.31,0,0.0,38.0,43.0,54.0,4m,23Mi,995m,824Mi,1648m,69Mi,1053m,136Mi
200,1KiB,5527835,32.49,6129.22,0,0.0,56.0,65.0,85.0,5m,22Mi,997m,879Mi,1811m,71Mi,1190m,145Mi
500,1KiB,5332405,84.32,5911.65,0,0.0,110.0,120.0,152.0,3m,22Mi,964m,943Mi,1997m,96Mi,1190m,165Mi
1000,1KiB,4966629,181.23,5502.79,0,0.0,235.0,255.0,283.0,4m,22Mi,877m,956Mi,1997m,135Mi,1109m,197Mi
10,10KiB,2902065,3.01,3220.43,0,0.0,4.0,4.0,10.0,4m,23Mi,995m,745Mi,1437m,67Mi,957m,117Mi
50,10KiB,4176029,10.68,4630.91,0,0.0,23.0,29.0,36.0,3m,22Mi,992m,782Mi,1837m,70Mi,1583m,127Mi
100,10KiB,4601055,19.45,5106.83,0,0.0,37.0,42.0,54.0,5m,22Mi,995m,817Mi,1919m,69Mi,1723m,134Mi
200,10KiB,4668818,38.45,5179.92,0,0.0,62.0,68.0,80.0,5m,22Mi,970m,854Mi,1999m,74Mi,1764m,140Mi
500,10KiB,4369813,102.92,4847.29,0,0.0,151.0,166.0,187.0,4m,22Mi,841m,913Mi,2001m,99Mi,1681m,162Mi
1000,10KiB,4282270,210.37,4733.29,0,0.0,267.0,281.0,309.0,4m,22Mi,833m,928Mi,1995m,143Mi,1591m,201Mi
10,100KiB,1474497,5.92,1636.62,0,0.0,8.0,9.0,13.0,4m,22Mi,677m,744Mi,1393m,68Mi,2449m,105Mi
50,100KiB,1952292,22.82,2166.6,0,0.0,37.0,43.0,56.0,5m,22Mi,858m,758Mi,1886m,68Mi,3413m,113Mi
100,100KiB,1894368,47.28,2102.73,0,0.0,83.0,96.0,125.0,3m,22Mi,807m,772Mi,1787m,75Mi,3398m,119Mi
200,100KiB,1877891,95.64,2083.4,0,0.0,187.0,226.0,291.0,4m,23Mi,797m,779Mi,1820m,88Mi,3462m,134Mi
500,100KiB,1796616,250.55,1991.32,0,0.0,397.0,439.0,535.0,4m,22Mi,737m,796Mi,1723m,123Mi,3409m,156Mi
1000,100KiB,1788542,503.43,1969.33,0,0.0,655.0,715.0,855.0,5m,23Mi,701m,818Mi,1702m,125Mi,3356m,200Mi
